frame,definition,example
f:Inhibit_movement,"An <em>Agent</em> restricts the movement of a <em>Theme</em> to within the vicinity of the <em>Holding location</em>, despite the <em>Theme</em>'s desire, plan, or tendency towards motion; the <em>Agent</em> may also use an <em>Instrument</em>. For many of these targets, the means is incorporated.  For some LUs, the <em>Theme</em> is required to be a sentient entity.  Several of these LUs may be used to describe punishment situations when the <em>Theme</em> is a sentient entity.",<p class='list-group-item'>They <span id='phrase_example'>held</span> the package  for two months  in the border-patrol locker room  .</p>
f:Contacting,"A <em>Communicator</em> (whose Location may be indicated) directs a <em>Communication</em> to an <em>Addressee</em> at a particular <em>Address</em>.  Note that no actual successful communicative act is implied, only the successful completion of acts which would establish the communication.  (In other words, Mari can e-mail Jon without Jon ever reading it.) NB:  The <em>Address</em> or <em>Location of communicator</em> may be a virtual address, such as an e-mail or telephone number.",<p class='list-group-item'>She  tried to <span id='phrase_example'>call</span>  from the payphone down the street .</p><p class='list-group-item'> Disgruntled voters <span id='phrase_example'>phoned</span> Congressman Neil  at his Washington residence  with complaints about the recent increases in corporate welfare .</p>
f:Possibility,"A <em>Possible event</em> is deemed to have some probability of occurrence, if some (generally implicit) further <em>Condition</em> pertains.  The <em>Condition</em>, whether overt or implicit, usually concerns the decision of an agent to attempt to bring the <em>Possible event</em> about. The primary implication is that certain other aspects of the situation that might have been expected to prevent the <em>Possible event</em>, usually lack of capability or permission, do not pertain.",<p class='list-group-item'>We  just <span id='phrase_example'>ca</span> n't  stand it   anymore  .   </p><p class='list-group-item'> This sense of lack <span id='phrase_example'>can</span> never  be satisfied  .</p><p class='list-group-item'> You <span id='phrase_example'>can</span> have two more  if you want  .</p><p class='list-group-item'> You <span id='phrase_example'>ca</span> n't  burn glass  .</p>
f:Reforming_a_system,"Because it no longer functions adequately under the given circumstances, an <em>Agent</em> (or non-Agentive <em>Cause</em>) undertakes steps to change the structural makeup of a complex <em>Entity</em> with interdependent parts, for instance an institution or a system of laws. The <em>Degree</em> of change is typically gradual and partial rather than revolutionary and total. Note that with some LUs the <em>Entity</em> can be unexpressed when it is identical to the <em>Agent</em>.","<p class='list-group-item'>This study investigates  how  and  why   the majority of large Slovak companies  <span id='phrase_example'>restructured</span>  without the help of foreign investors or a government .   </p><p class='list-group-item'>At the same time ,  the government  <span id='phrase_example'>reformed</span>  the rating system as it applied to companies .</p><p class='list-group-item'> They  want to <span id='phrase_example'>reform</span>  the law on Sunday trading .</p>"
f:Labor_product,"An <em>Agent</em> or a <em>Cause</em> mentally or physically expends energy rendering an <em>Input</em>, whether implicit or explicit, into a <em>Output</em>.NB:  The <em>Input</em> in the case of artistic <em>Output</em>, or an �artistic work� as more commonly referred to, is usually , because the material at hand being rendered is usually an idea or artistic material that is taken as common foreground knowledge by the semantics of the <em>Agent</em>'s professional role.",<p class='list-group-item'>One of  Chinua Achebe's  greatest <span id='phrase_example'>works</span> was  Things Fall Apart .   </p><p class='list-group-item'> Erosion is the <span id='phrase_example'>work</span>  of wind and water   on rock .</p>
f:Estimated_value,"A <em>Cognizer</em> has carried out an approximate calculation or considered some <em>Evidence</em> and produced an approximation of the <em>Value</em> of a feature of an <em>Item</em>. There are two alternative construals in which the relationship between the feature and the <em>Value</em> is conceived. Either a holistic <em>Estimation</em> by the <em>Cognizer</em> is presented, or the <em>Question</em> that is addressed by the <em>Cognizer</em>'s estimating is given.","<p class='list-group-item'>To help you anticipate the cost of your move, movers will give you an <span id='phrase_example'> estimate </span></p><p class='list-group-item'>Our decision to trust people depends on  our  <span id='phrase_example'> estimate </span>  of how trustworthy they are .</p><p class='list-group-item'>Moreover,  their  <span id='phrase_example'> estimate </span>  of 0.27 �C mean surface warming per century due to land-use changes  is at least twice as high as previous estimates based on urbanization alone.</p><p class='list-group-item'>You can list a <span id='phrase_example'> ballpark figure </span>  for shipping and handling .</p>"
f:Connecting_architecture,"An entity is integrated into a building as a <em>Part</em> of a (possibly unexpressed) <em>Whole</em> which may refer to the whole building or merely to a sub-part of the building.  The <em>Part</em> itself connects locations within the building to each other, <em>Connected locations</em>. If a particular point of view is adopted in the context of real or imagined motion, then one of the locations can be construed as <em>Goal</em> and the other as <em>Source</em>.",<p class='list-group-item'>The <span id='phrase_example'> window </span>  into the garden  was open.</p><p class='list-group-item'>All visitors may use the <span id='phrase_example'> elevator </span>  between the Main Level and the Upper Level  instead of the main staircase</p><p class='list-group-item'>It was of great interest to me to see the star signs of Taurus the Bull and Leo the Lion on the <span id='phrase_example'> staircase </span>  to the upper Palace .</p>
f:Social_event,"A <em>Social event</em> occurs at which <em>Attendee</em>s are present to conduct a social function or joint activity.  The <em>Social event</em> is often a party or celebration, in which case it is possible to express someone who is being honored (the <em>Honoree</em>) or its function may be to celebrate an <em>Occasion</em> at which <em>Attendee</em>s are present. Often, a specific <em>Attendee</em>, the <em>Host</em>, provides a venue for people to gather.",<p class='list-group-item'>Who  will <span id='phrase_example'>host</span>  the Olympic games   in eight years ?</p><p class='list-group-item'> Sue threw a  <span id='phrase_example'>party</span>   for Bob's birthday .</p>
f:Imposing_obligation,"A <em>Duty</em> is imposed on a <em>Responsible party</em> according to a <em>Principle</em> which regulates how the <em>Responsible party</em> should respond to a <em>Situation</em>.  The <em>Situation</em> may be expressed metonymically by reference to an <em>Obligator</em>, whose action invokes the <em>Principle</em>.  It is only rarely the case that the <em>Principle</em> and the <em>Situation</em>/<em>Obligator</em> are both expressed overtly.","<p class='list-group-item'>The Generality's invitation to give a conference on the theme <span id='phrase_example'>obligated</span> me  to study Gaudi's work even more .</p><p class='list-group-item'>It was also discovered that with out her knowledge,  he  had <span id='phrase_example'>committed</span>  her   to a new TV series  and he had already taken an advance on the money.</p><p class='list-group-item'> The lease agreements <span id='phrase_example'>bound</span> them  to make rent payments to Homeowners Rescue .</p><p class='list-group-item'>They escaped total Soviet invasion and occupation only by entering into  a separate agreement   that  <span id='phrase_example'>obligated</span>  them   to military action against the retreating German armies .</p>"
f:Make_acquaintance,"<em>Individuals</em> first encounter each other and make introductions at a particular <em>Time</em>, <em>Place</em>, or <em>Context</em>. The <em>Individuals</em> may have known of each other before making introductions. The <em>Individuals</em> may  be separately construed as <em>Individual 1</em> and <em>Individual 2</em>. In some cases, there is a <em>Explanation</em> of the circumstances which lead to the <em>Individuals</em>' meeting.","<p class='list-group-item'>Her name was Jenny and  I  <span id='phrase_example'>met</span>  her   through an online dating service .</p><p class='list-group-item'> Horatio Nelson and Emma Hamilton  first <span id='phrase_example'>met</span>  in Naples   in September 1793 </p><p class='list-group-item'> We <span id='phrase_example'>met</span> each other  in the university , worked in the same city and came to KSU together! </p><p class='list-group-item'>Impressed when  he  first <span id='phrase_example'>met</span>  Nixon , he had always thought of him as an intelligent man, and believed that Nixon would take a stand for civil rights</p>"
f:Operational_testing,A <em>Tester</em> uses a concrete or conceptual <em>Product</em> in order to determine either whether it works or to find out how well or in which manner it works. The <em>Tester</em> may have particular <em>Unwanted characteristics</em> in mind that they are specifically looking for. The operational test may also be carried out under a particular set of <em>Circumstances</em> that are typically relevant to the functioning of the <em>Product</em>.,"<p class='list-group-item'>Roe  revisited the compound and <span id='phrase_example'>tested</span>  it   as a mosquito repellent .</p><p class='list-group-item'> The Velcro hook and loop closure system  has been <span id='phrase_example'>tested</span>  under wet conditions  and retains its holding power after 10,000 open and close functions.      </p><p class='list-group-item'> Sun  has (hopefully) already <span id='phrase_example'>tested</span>  it   for compliance .</p>"
f:Project,"An <em>Agent</em>, which may be an individual or group, is engaged in a complex <em>Activity</em>.  A larger <em>Goal</em> which motivates the <em>Agent</em> carrying out the <em>Activity</em> may be indicated. Instead of a particular  <em>Activity</em>, a <em>Field</em> of endeavor may be indicated. The project may also have a <em>Name</em> and the <em>Time</em> when as well as the <em>Place</em> where it is ongoing may be specified.","<p class='list-group-item'>The school will continue with  its  <span id='phrase_example'>project</span>  to end all violence related to racism, xenophobia and intolerance .</p><p class='list-group-item'>The  New Car Assessment  <span id='phrase_example'>Program</span> (NCAP) is dedicated to helping the public buy a safer car.</p>"
f:Hiring,"An <em>Employer</em> hires an <em>Employee</em>, promising the <em>Employee</em> a certain <em>Compensation</em> in exchange for the performance of a job.  The job may be described either in terms of a <em>Task</em> or a <em>Position</em>.  In some cases, the <em>Employee</em> FE will also indicate the <em>Position</em> (see fourth example below).The same sentence (above) should also have the FE <em>Position</em> on the second layer:",<p class='list-group-item'>The A's <span id='phrase_example'>signed</span>  a new third baseman  for $30M.</p><p class='list-group-item'> The A's <span id='phrase_example'>signed</span> a new third baseman  for $30M .</p><p class='list-group-item'> I  was <span id='phrase_example'>retained</span>  at $500 an hour .</p><p class='list-group-item'> IBM <span id='phrase_example'>hired</span> Gates  as chief janitor .</p><p class='list-group-item'> John  was <span id='phrase_example'>hired</span>  to clean up the file system .</p>
f:Terms_of_agreement,"A condition that is set out in an <em>Agreement</em> imposes <em>Requirements</em> on a <em>Party</em> or parties, with respect to some <em>Regulated entity</em>. If the conditions are not met, the <em>Agreement</em> as a whole ceases to be valid or, more specifically, a <em>Desired state of affairs</em> cannot occur. (The <em>Desired state of affairs</em> typically is an interaction between the parties that benefits one or both sides.)",<p class='list-group-item'>The Engineering Division has violated the seniority<span id='phrase_example'> provision </span> of the collective bargaining agreement.</p><p class='list-group-item'>The Engineering Division has violated the  seniority  <span id='phrase_example'>provision</span>  of the collective bargaining agreement. </p><p class='list-group-item'>We will verify compliance with the financial <span id='phrase_example'> terms </span> of the contract.</p><p class='list-group-item'>We will verify compliance with the  financial  <span id='phrase_example'>terms</span>  of the contract .</p><p class='list-group-item'>Please read our  <span id='phrase_example'>Conditions</span>  of Sale carefully</p><p class='list-group-item'>Please read  our  <span id='phrase_example'>Conditions</span>  of Sale  carefully</p><p class='list-group-item'>   What </p><p class='list-group-item'>  <span id='phrase_example'>conditions</span></p><p class='list-group-item'>   for a peaceful settlement? </p><p class='list-group-item'>Breach of contract occurs where one of the parties fails to perform any one of the contract  <span id='phrase_example'>terms</span>  .</p><p class='list-group-item'>Breach of contract occurs where one of the parties fails to perform any one of the  contract  <span id='phrase_example'>terms</span> .</p>
f:Compatibility,"<em>Item-1</em> and <em>Item-2</em> are compatible with each other if they can exist or function together in some context without problems, conflict, or other undesirable situation.  The set of <em>Item-1</em> and <em>Item-2</em> may be expressed jointly as <em>Items</em>. The <em>Degree</em> to which the Items are compatible may also be indicated, as may be a <em>Parameter</em> along whose lines the <em>Items</em> are compatible.",<p class='list-group-item'>Our software applications   are <span id='phrase_example'>compatible</span>. </p><p class='list-group-item'> Make sure  your site  is <span id='phrase_example'>compatible</span>  with any browser .</p>
f:Obviousness,"A <em>Phenomenon</em> is portrayed with respect to the <em>Degree</em> of likelihood that it will  be perceived and known, given the (usually implicit) <em>Evidence</em>, <em>Perceiver</em>, and the <em>Circumstances</em> in which it is considered.  For several of the LUs, such as visible, audible, etc., the type of the <em>Evidence</em> is fixed by the targets themselves being a perceptual experience.",<p class='list-group-item'>In late July 2000  it was barely <span id='phrase_example'>visible</span> to the unaided eye .</p><p class='list-group-item'> That the defense will declare a mistrial regardless is quite <span id='phrase_example'>evident</span> from their consistent obstructionist tactics .</p><p class='list-group-item'> I think they miss  some of the important impacts of the work that  are not <span id='phrase_example'>visible</span>  just from looking at the vote tally .</p><p class='list-group-item'>Are you certain that  the shovel  was <span id='phrase_example'>visible</span>  from the door of the apartment ?</p><p class='list-group-item'>It's  abundantly  <span id='phrase_example'>obvious</span>  that we'll need to spend more time on public perception .</p>
f:Besieging,"An <em>Assailant</em>, a group of armed forces, surrounds the <em>Victim</em>, a military location and the people within it, in an attempt to cut the <em>Victim</em> off from the outside, with the goal of either forcing their surrender or weakening them so that an invasion would be successful. A successful siege is often followed by the <em>Assailant</em> taking control of (the land held by) the <em>Victim</em>.","<p class='list-group-item'>Towards the end of the summer ,  a great English host <span id='phrase_example'>besieged</span> the Danish fort of Tempsford  and took it, killing the last Danish king of East Anglia.</p>"
f:Inclination,"Due to internal forces/properties, an <em>Entity</em> is inclined towards a particular <em>Behavior</em>, which may be to perform an action or a to maintain a state. The underlying force is seen as being beyond the <em>Entity</em>'s control. The <em>Degree</em> to which the <em>Entity</em> is inclined towards the <em>Behavior</em> may also be specified as well as the <em>Basis</em> for the inclination.",<p class='list-group-item'>Smithers has a  genetic  <span id='phrase_example'>predisposition</span>  for neural tube defects . </p><p class='list-group-item'> Chuck was not  very  <span id='phrase_example'>inclined</span>  to believe me . </p><p class='list-group-item'>  Smithers  has always had a deplorable <span id='phrase_example'>tendency</span>  to exhibitionism . </p><p class='list-group-item'> My grandmother has criminal <span id='phrase_example'>tendencies</span>.</p>
f:Cause_to_amalgamate,"These words refer to an <em>Agent</em> joining <em>Parts</em> to form a <em>Whole</em>.  (The <em>Parts</em> may also be encoded as <em>Part 1</em> and <em>Part 2</em>.)  There is a symmetrical relationship between the components that undergo the process, and afterwards the <em>Parts</em> are consumed and are no longer distinct entities that are easily discernable or separable in the <em>Whole</em>.","<p class='list-group-item'>Melt the butter, then <span id='phrase_example'>blend</span>  it   with the room temperature milk .   </p><p class='list-group-item'> The two forces <span id='phrase_example'>merged</span> into a single, undifferentiated mass of murderous mayhem .(Sense 2)</p><p class='list-group-item'> Chuck <span id='phrase_example'>merged</span> the BNC  with the AP Corpus  into a database .</p><p class='list-group-item'> Chuck <span id='phrase_example'>merged</span> the corpora  into a database .</p><p class='list-group-item'> Chuck <span id='phrase_example'>merged</span> the corpora .</p>"
f:Expressing_publicly,"A <em>Communicator</em> publically communicates some difficult-to-express <em>Content</em> which they (or a social group of which they are a member) have had for some time. The <em>Content</em> may not have been previously communicated due to inability or social stricture.  In cases where the individuals addressed are a smaller group than the public at large, a separate <em>Addressee</em> may be expressed.",<p class='list-group-item'>Saddam <span id='phrase_example'>voiced</span> his joy  when he was told Spain's new government had left the US-led military coalition in Iraq .</p><p class='list-group-item'> Those grievances  can be <span id='phrase_example'>aired</span>  during Board meetings .</p>
f:Change_operational_state,"A <em>Device</em> or machine is put in (or out of) service either by a volitional <em>Agent</em> or by a <em>Cause</em> event or force acting on the <em>Device</em>. The <em>Time</em> when and the <em>Place</em> where the <em>Device</em> is put in or out of use may be specified, as may be the <em>Purpose</em> of the human <em>Agent</em> in changing the operational state of the <em>Device</em>.",<p class='list-group-item'>The laborer realized that  he  <span id='phrase_example'>activated</span>  the machine  but did not know how to stop it.</p>
f:Path_traveled,"A <em>Path</em>, a series of connected locations, is traversed by a <em>Theme</em>, moving under its own power or under the influence of a physical force. The <em>Path</em> may be described in various terms depending on whether it is bounded or not. If it is bounded, the <em>Path</em> may be identified by its <em>Endpoints</em>, which may be presented separately as <em>Source</em> and <em>Goal</em>.","<p class='list-group-item'>Its period around Saturn is just under one Earth day, meaning that it really barrels along, to cover its  700,000 mile   <span id='phrase_example'>orbit</span>  in such a short time.</p><p class='list-group-item'>From the eyewitness accounts, as well as satellite data, videos and photos, Brown and his team have worked out  the meteor's   <span id='phrase_example'>path</span>   through space .</p><p class='list-group-item'> <span id='phrase_example'>orbit</span>   around the Sun .</p>"
f:Institutionalization,"A <em>Patient</em> is committed to the care of a medical <em>Facility</em> by a proper <em>Authority</em>. Regardless of whether the <em>Patient</em> agrees or does not agree with their placement in the <em>Facility</em>, the <em>Authority</em> judges that it is in the best interest of the <em>Patient</em> or his environment that the <em>Patient</em> receive treatment in the <em>Facility</em>.","<p class='list-group-item'>The <span id='phrase_example'>hospitalization</span>  of the Saudi king  upset the skittish oil markets.      </p><p class='list-group-item'><span id='phrase_example'>hospitalized</span>  for a fever  and undergoing tests.      </p><p class='list-group-item'> A pregnant woman  was <span id='phrase_example'>hospitalized</span>   with gunshots to her</p><p class='list-group-item'> Ten years after Abraham Lincoln's assassination ,  a Chicago court  declared his 56-year-old widow Mary insane and <span id='phrase_example'>committed</span>  her   to a mental institution .</p>"
f:Enforcing,An <em>Agent</em> acts to ensure that a <em>Rule</em> (often a constraint on behavior) is being followed. The <em>Agent</em>'s action is according to a general plan for <em>Rule</em>s (such that implicit in the <em>Rule</em> is the affordance to certain entities to ensure that the <em>Rule</em> is followed). The <em>Rule</em> may be specified for the <em>Duration</em> for which it is in effect.,<p class='list-group-item'>Can  a landlord  <span id='phrase_example'>enforce</span>  rules   upon tenants ?</p><p class='list-group-item'> Computer systems  can  ruthlessly  <span id='phrase_example'>enforce</span>  rules and standards   indefinitely .</p><p class='list-group-item'>Why don't  we  <span id='phrase_example'>enforce</span>  the 20000 gun laws currently on the books across the nation ?</p>
f:Preference,"An <em>Experiencer</em> has a greater desire to participate in some <em>Event</em>, as against another (contextually recoverable) event which exhibits a specific <em>Contrast</em> with the <em>Event</em>. Alternatively, the <em>Experiencer</em> may have a greater desire that some <em>Focal participant</em> participate in the <em>Event</em>. The <em>Location of Event</em> may also be mentioned.",<p class='list-group-item'>I <span id='phrase_example'>prefer</span> my tartar sauce  on fish .</p><p class='list-group-item'> Other customers <span id='phrase_example'>prefer</span> to send us an order together with a cheque .</p><p class='list-group-item'> I <span id='phrase_example'>prefer</span> open source programs  over proprietary ones .</p>
f:Contingency,"The answer to one open question, the <em>Outcome</em>, is dictated (partially or completely) by the answer to another open question, the <em>Determinant</em>, i.e. if the answer to the <em>Determinant</em> is known, the answer to the <em>Outcome</em> can be predicted.  The <em>Degree</em> of predictive power and the <em>Circumstances</em> under which the dependency holds can also be expressed.","<p class='list-group-item'>In Mediaeval times ,  status  was <span id='phrase_example'>dependent</span>  on birth .</p><p class='list-group-item'>Well,  <span id='phrase_example'>that</span>  <span id='phrase_example'>depends</span> ...   </p><p class='list-group-item'> Economic policy  is  partially  a <span id='phrase_example'>function</span>  of cultural values .</p>"
f:Abounding_with,"A <em>Location</em> is filled or covered with the <em>Theme</em>.  The <em>Location</em> is realized as the External Argument, and the <em>Theme</em> either as PP complement headed by with, in or of.",<p class='list-group-item'>The road was completely <span id='phrase_example'>covered</span> in mud .</p><p class='list-group-item'> The waters of the bay were<span id='phrase_example'>teeming</span> with fish .</p><p class='list-group-item'> The waters of the bay <span id='phrase_example'>teemed</span> with fish .</p>
f:Make_agreement_on_action,"Two (or more) people (the <em>Parties</em>, also encodable as <em>Party 1</em> and <em>Party 2</em>) negotiate an agreement. Both sides are construed as making a commitment to assume an <em>Obligation</em>--the process is understood to be symmetrical or reciprocal. Instead of a specific mention of the <em>Obligation</em>, a <em>Topic</em> expression may be used to indicate the domain covered.","<p class='list-group-item'>At common law,  the parties  could make an  oral  <span id='phrase_example'>agreement</span>  to submit a dispute to arbitration  and such oral agreement would be valid.</p><p class='list-group-item'>So far ,  we  have <span id='phrase_example'>agreed</span> to cede 100km of coastline to Kiribati  .</p>"
f:Being_in_operation,"A <em>Device</em> or machine is in (or out of) service. Note that being broken or functional is a separate issue from being turned on or off. This latter notion is what the present definition is concerned with. <br/> The <em>Time</em> when and the <em>Place</em> where the <em>Device</em> is in use may be specified, as may be the Purpose a backgrounded human User had in turning the Device on or off.",<p class='list-group-item'>The lights  were <span id='phrase_example'>off</span>  when I came by .</p><p class='list-group-item'> The TV  is <span id='phrase_example'>on</span></p>
f:Assessing,"An <em>Assessor</em> examines a <em>Phenomenon</em> to figure out its <em>Value</em> according to some <em>Feature</em> of the <em>Phenomenon</em>.  This <em>Value</em> is a factor in determining the acceptability of the <em>Phenomenon</em>.  In some cases, a <em>Method</em> (implicitly involving an <em>Assessor</em>) is used to determine the <em>Phenomenon</em>'s <em>Value</em>.",<p class='list-group-item'>He <span id='phrase_example'>weighed</span> his options  carefully .</p><p class='list-group-item'> From the evidence of the pilot studies  the risk of damage to the test subjects  was <span id='phrase_example'>rated</span>  too high to continue .   </p><p class='list-group-item'> Each company  is then <span id='phrase_example'>evaluated</span>  for their earning potential .</p>
f:Amalgamation,"These words refer to <em>Parts</em> merging to form a <em>Whole</em>.  (The <em>Parts</em> may also be encoded as <em>Part 1</em> and <em>Part 2</em>.)  There is a symmetrical relationship between the components that undergo the process, and afterwards the <em>Parts</em> are consumed and are no longer distinct entities that are easily discernable or separable in the <em>Whole</em>.","<p class='list-group-item'>The two droplets <span id='phrase_example'>merge</span>, and then travel down the windowpane even faster.</p>"
f:Waver_between_options,A <em>Cognizer</em> faces a choice on some <em>Issue</em>. They have several <em>Options</em>  available but keep changing their mind between <em>Option 1</em> and <em>Option 2</em>. The <em>Cognizer</em> may in fact act on their choice at some point but they need not; the <em>Options</em> can simply be considered for some time with one being favored for a while and then the other.,"<p class='list-group-item'>Upper management <span id='phrase_example'>waffled</span> whether Fletcher fit their salary structure .</p><p class='list-group-item'> He  was firm in his beliefs,  never  <span id='phrase_example'>waffled</span>  from one platform   to another  and was always harshly clear in his stance.</p><p class='list-group-item'>In any event,  I   still  <span id='phrase_example'>go back and forth</span>  on what I want to do . </p><p class='list-group-item'> He  had <span id='phrase_example'>wavered</span>  between half a dozen places ; it was pure chance that he had chosen Marvis Bay.</p><p class='list-group-item'> Dave Hayes <span id='phrase_example'>wavered</span> about moving to California  because so many of his friends are in Baltimore .</p>"
f:Abundance,The <em>Quantity</em> of a <em>Collection</em> occurring in a <em>Place</em> has a particular <em>Measure</em>. The <em>Measure</em> of the <em>Collection</em> is referred to only in terms of how the <em>Measure</em> diverges from a norm for <em>Collection</em>s of the specified type. <em>Degree</em> may further refine the relation of the <em>Measure</em> to the norm.,<p class='list-group-item'>There was a recent discovery that  exotic microbes  <span id='phrase_example'>teem</span>  in the rocks hundreds of metres beneath the floor of the Pacific Ocean .</p><p class='list-group-item'>Detritus of life <span id='phrase_example'>abounds</span>  in the atmosphere . </p><p class='list-group-item'> Beauty is<span id='phrase_example'>abundant</span> in a land flowing with snowmelt .</p>
f:First_rank,"An <em>Item</em> is located at the top end of a scale of importance or social rank (or some other <em>Attribute</em>) in comparison to other members of a <em>Contrast set</em> (usually, implicit) that is otherwise similar in kind to the <em>Item</em>. Oftentimes, the limits of the <em>Contrast set</em> are determined by an expression of the <em>Limits of consideration</em>.","<p class='list-group-item'>Their <span id='phrase_example'>primary</span>  objective   in Bosnia  was bringing about a lasting peace.   </p><p class='list-group-item'>Oh, he had a great many concerns -- <span id='phrase_example'>chief</span>  among them   his own boredom .</p><p class='list-group-item'>The <span id='phrase_example'>main</span>  problem  is that the administration has not yet clarified Regime change.</p>"
f:Importance,"A <em>Factor</em> affects the outcome of an <em>Undertaking</em>, which  can be a goal-oriented activity or the maintenance of a desirable state, the work in a <em>Field</em>, or something portrayed as affecting an <em>Interested party</em>. A <em>Reason</em> may be given for the importance of the <em>Factor</em>. The <em>Degree</em> of importance may also be specified.",<p class='list-group-item'>1992 wasof great <span id='phrase_example'>importance</span> to the business community . </p><p class='list-group-item'> Heathcliff is more <span id='phrase_example'>important</span> to me  than myself  . </p><p class='list-group-item'> Timing  will be <span id='phrase_example'>critical</span>.</p><p class='list-group-item'>Temperature is the  most  <span id='phrase_example'>critical</span>  factor   in successful storage .</p>
f:Sent_items,"A <em>Sent item</em> is prepared for, received after, or involved in a process of Sending, which may involve a particular kind of <em>Transport means</em>. The <em>Sent item</em> has an (intended or actual) <em>Sender</em> and <em>Recipient</em> (or a <em>Source</em> and <em>Goal</em>). As a physical object, the <em>Sent item</em> can be located in a <em>Place</em>.",<p class='list-group-item'>He had plenty of time to read all  his   fan   <span id='phrase_example'>mail</span>   from Australia  while there.</p><p class='list-group-item'>i am looking for a penpal for email or  snail   <span id='phrase_example'>mail</span> .</p><p class='list-group-item'>I 'll arrange for her to collect  Bertha 's   <span id='phrase_example'>mail</span> .</p><p class='list-group-item'>Postage became more affordable and  <span id='phrase_example'>mail</span>   to the President  gradually increased.</p><p class='list-group-item'>The  <span id='phrase_example'>shipment</span>   from Romania  is destined for the Iraqi Police Forces.</p>
f:Spelling_and_pronouncing,"A <em>Speaker</em> realizes a <em>Sign</em>, usually a linguistic one, in some <em>Formal realization</em>. The <em>Formal realization</em> may be described as correct or incorrect in a <em>Judgment</em> expression, or it may be partially indicated as a <em>Part of form</em>.  <em>Manner</em> may be used as a more general indication of the <em>Formal realization</em>","<p class='list-group-item'>In German ,  the word for 'peace'  is <span id='phrase_example'>written</span>  Friede    </p><p class='list-group-item'> On page 87465 ,  you <span id='phrase_example'>spelled</span> the name of my dog  incorrectly  as Checquers .</p><p class='list-group-item'> Stephanopolous <span id='phrase_example'>spells</span> his name  with a ph .</p><p class='list-group-item'> I  can't <span id='phrase_example'>spell</span>.      </p><p class='list-group-item'> A person  doesn't always <span id='phrase_example'>pronounce</span>  a word   the way they say  it in context</p>"
f:Part_edge,This describes a part whole relationship where the <em>Part</em> provides the boundary between the <em>Whole</em> and what is not that object.  The <em>Part</em> can exist along a continuum of width.  It can be modified by an <em>Orientation</em> that specifies the particular portion of the edge of a <em>Part prop</em> which describes a property of the <em>Part</em>.,<p class='list-group-item'>We came to the  southern  <span id='phrase_example'> edge </span>   of the town   .</p>
f:Shaped_part,"An entity is a shaped <em>Part</em> of a larger <em>Whole</em>. The <em>Part</em> may correspond in form and  function  to a part of another entity. For instance, the leg of a table supports the weight of a table like the leg of an animal or person supports their weight. The <em>Orientation</em> of the <em>Part</em> relative to the <em>Whole</em> may be expressed.",<p class='list-group-item'>Bill likes to chew the  waxy   <span id='phrase_example'>rind</span>   of the cheese </p><p class='list-group-item'>I removed the  <span id='phrase_example'>brim</span>   of the hat</p>
f:Needing,"The speaker believes that some state of affairs or entity (the <em>Requirement</em>) must be present in order to cause some other dependent state of affairs to occur (the <em>Dependent</em>).  In the typical case, the <em>Cognizer</em> desires the occurrence of the <em>Dependent</em> and so also desires the obtainment or occurrence of the <em>Requirement</em>.","<p class='list-group-item'>He <span id='phrase_example'>needs</span> everyone to leave his office  to finish his work .</p><p class='list-group-item'> In order to complete the treaty ,  the United States  will <span id='phrase_example'>require</span>  several more diplomats .</p><p class='list-group-item'> I <span id='phrase_example'>need</span> one more nail  to finish building the cabinet .</p><p class='list-group-item'> I <span id='phrase_example'>need</span> one more bolt .</p>"
f:Withdraw_from_participation,"An individual that is scheduled to be a <em>Participant</em>, or already is a <em>Participant</em> in an <em>Activity</em> or an <em>Organization</em>, indicates that  they will no not or no longer participate in that <em>Activity</em> or <em>Organization</em>. Note that the <em>Organization</em> often is one that is constituted by a treaty or agreement.",<p class='list-group-item'>The right-wing nationalist Tsomet Party  formally <span id='phrase_example'>withdrew</span>  from the ruling coalition .</p><p class='list-group-item'> The Moslem contingent  had <span id='phrase_example'>withdrawn</span>  from the EC talks   on May 27 .</p>
f:Abusing,"An <em>Abuser</em> repeatedly treats the <em>Victim</em> in a cruel and violent way, including physically harming or forcing the <em>Victim</em> to engage in sexual activity against their will. The <em>Victim</em> usually lacks the power to resist or fight back. A <em>Type</em> of abuse may be indicated. There may also be a <em>Degree</em>.",<p class='list-group-item'>Her father  verbally <span id='phrase_example'>abused</span> her mother .</p>
f:Adorning,A static (primarily spatial) relationship between a <em>Location</em> and a <em>Theme</em>.,<p class='list-group-item'>Adorning: Flowers <span id='phrase_example'>covered</span> the table.</p><p class='list-group-item'>Filling: Pat <span id='phrase_example'>covered</span> the table with flowers.</p>
f:Trying_out,"An <em>Evaluator</em> participates in an <em>Experience</em> (or metonymically, a salient <em>Entity</em> of the <em>Experience</em>), often for the first time, in order to form an opinion about its quality. The aspect of quality that is being judged is often implicit but may be expressed as the <em>Purpose</em> of the <em>Evaluator</em>'s participation.",<p class='list-group-item'>Don <span id='phrase_example'>tried out</span> the bike  to see if it was the right size .</p><p class='list-group-item'>Have you <span id='phrase_example'>tried</span> my latest get-rich-quick scheme?</p>
